third_ac,arrival,from_station_code,name,zone,chair_car,first_class,sleeper,from_station_name,number,departure,return_train,to_station_code,second_ac,to_station_name,type,first_ac,distance,duration
0,12:15:00,JAT,Jammu Tawi Udhampur Special,NR,0,0,0,JAMMU TAWI,04601,10:40:00,04602,UHP,0,UDHAMPUR,DEMU,0,53.0,1.5833333134651184
0,08:35:00,UHP,UDHAMPUR JAMMUTAWI DMU,NR,0,0,0,UDHAMPUR,04602,06:45:00,04601,JAT,0,JAMMU TAWI,DEMU,0,53.0,1.8333333134651184
0,17:50:00,JAT,JAT UDAHMPUR DMU,NR,0,0,0,JAMMU TAWI,04603,16:15:00,04604,UHP,0,UDHAMPUR,DEMU,0,53.0,1.5833333134651184
0,19:50:00,UHP,UDHAMPUR JAMMUTAWI DMU,NR,0,0,0,UDHAMPUR,04604,18:20:00,04603,JAT,0,JAMMU TAWI,DEMU,0,53.0,1.5
1,12:30:00,BDTS,Mumbai BandraT-Bikaner SF Special,NWR,0,0,1,MUMBAI BANDRA TERMINUS,04728,14:35:00,04727,BKN,1,BIKANER JN,SF,0,1212.0,21.91666668653488
0,23:45:00,DNA,Rewari Degana Merta Special,NWR,0,0,0,DEGANA JN,04853,22:30:00,04854,MTD,0,MERTA ROAD JN,Pass,0,44.0,1.25
0,04:40:00,MTD,Degana Merta Special,NWR,0,0,0,MERTA ROAD JN,04854,03:40:00,04853,DNA,0,DEGANA JN,Pass,0,44.0,1.0
1,17:50:00,JAT,JAMMU TAWI - BANDRA TERMINUS AC Suvidha Special (Starts 5 April),WR,0,0,1,JAMMU TAWI,09022,09:30:00,09021,BDTS,1,MUMBAI BANDRA TERMINUS,SF,1,1957.0,32.33333334326744
1,21:55:00,DR,Chalukya Express,CR,0,0,1,MUMBAI DADAR CENTRAL,11017,21:30:00,11018,YPR,1,YESVANTPUR JN,Exp,0,1205.0,24.41666665673256
1,04:25:00,CSTM,Konark Express,CR,0,0,1,MUMBAI CST,11019,15:10:00,11020,BBS,1,BHUBANESWAR,Exp,0,1932.0,37.25
1,03:55:00,BBS,Konark Express,CR,0,0,1,BHUBANESWAR,11020,15:20:00,11019,CSTM,1,MUMBAI CST,Exp,0,1932.0,36.58333331346512
1,06:05:00,CSTM,Sahyadri Express,CR,0,0,1,MUMBAI CST,11023,17:50:00,11024,KOP,1,C SHAHU M RAJ KOLHAPUR TERM,Exp,0,518.0,12.25
1,11:55:00,KOP,Sahyadri Express,CR,0,0,1,C SHAHU M RAJ KOLHAPUR TERM,11024,22:50:00,11023,CSTM,1,MUMBAI CST,Exp,0,518.0,13.08333333581686
0,12:05:00,MMR,Manmad Pune Express(Via Nasik),CR,1,0,0,MANMAD JN,11025,04:30:00,11026,PUNE,0,PUNE JN,Exp,0,364.0,7.583333313465118
0,21:30:00,PUNE,Pune Manmad Express,CR,1,0,0,PUNE JN,11026,12:50:00,11025,MMR,0,MANMAD JN,Exp,0,364.0,8.666666686534882
1,04:55:00,CSTM,Mumbai CST-Chennai Mail,CR,0,0,1,MUMBAI CST,11027,23:45:00,11028,MAS,1,CHENNAI CENTRAL,Mail,0,1283.0,29.16666667163372
0,20:25:00,CSTM,Koyna Express,CR,1,0,0,MUMBAI CST,11029,08:40:00,11030,KOP,0,C SHAHU M RAJ KOLHAPUR TERM,Exp,0,518.0,11.75
0,20:22:00,KOP,Koyna Express,CR,1,0,0,C SHAHU M RAJ KOLHAPUR TERM,11030,07:55:00,11029,CSTM,0,MUMBAI CST,Exp,0,518.0,12.449999988079071
1,06:45:00,PUNE,PUNE - DARBHANGA Gyan Ganga Exp,CR,0,0,1,PUNE JN,11033,16:15:00,11034,DBG,1,DARBHANGA JN,Exp,0,1948.0,38.5
1,21:45:00,DR,Dadar-Mysore Sharavati Express,CR,0,0,1,MUMBAI DADAR CENTRAL,11035,21:30:00,11036,MYS,1,MYSORE JN,Exp,0,1212.0,24.25
