train_number,station_code,third_ac,zone,chair_car,first_class,sleeper,second_ac,type,first_ac,distance,duration,month,month_3,month_6,year,week,train_delay_level,station_delay_level,station
10103,CSMT,1,KR,0,0,1,1,Exp,1,765.0,11.833333313465118,7,14,20,16,12,4,1,C Shivaji Mah T Railway Station
10104,CSMT,1,KR,0,0,1,1,Exp,1,765.0,12.0,10,14,16,17,12,2,1,C Shivaji Mah T Railway Station
11007,CSMT,0,CR,1,0,0,0,Exp,0,192.0,4.0,1,1,1,3,1,0,1,C Shivaji Mah T Railway Station
11008,CSMT,0,CR,1,0,0,0,Exp,0,192.0,4.16666667163372,13,15,16,13,9,0,1,C Shivaji Mah T Railway Station
11009,CSMT,0,CR,1,0,0,0,Exp,0,192.0,4.16666667163372,1,1,1,2,0,0,1,C Shivaji Mah T Railway Station
11010,CSMT,0,CR,1,0,0,0,Exp,0,192.0,3.8333333134651184,10,15,16,15,10,0,1,C Shivaji Mah T Railway Station
11029,CSMT,0,CR,1,0,0,0,Exp,0,518.0,11.75,0,1,1,6,0,0,1,C Shivaji Mah T Railway Station
11030,CSMT,0,CR,1,0,0,0,Exp,0,518.0,12.449999988079073,8,13,13,13,9,0,1,C Shivaji Mah T Railway Station
11401,CSMT,1,CR,0,0,1,1,Exp,0,1139.0,23.66666668653488,1,1,1,3,0,2,1,C Shivaji Mah T Railway Station
11402,CSMT,1,CR,0,0,1,1,Exp,0,1139.0,23.66666668653488,2,4,3,3,3,0,1,C Shivaji Mah T Railway Station
12051,CSMT,0,KR,1,0,0,0,JShtb,0,765.0,9.0,1,1,1,2,1,0,1,C Shivaji Mah T Railway Station
12052,CSMT,0,KR,1,0,0,0,JShtb,0,765.0,8.833333313465118,20,38,38,29,30,2,1,C Shivaji Mah T Railway Station
12071,CSMT,0,SCR,1,0,0,0,JShtb,0,374.0,6.75,2,2,4,5,1,0,1,C Shivaji Mah T Railway Station
12072,CSMT,0,SCR,1,0,0,0,JShtb,0,374.0,6.75,8,8,7,6,11,0,1,C Shivaji Mah T Railway Station
12105,CSMT,1,CR,0,0,1,1,SF,1,968.0,16.0,1,4,6,5,2,2,1,C Shivaji Mah T Railway Station
12106,CSMT,1,CR,0,0,1,1,SF,1,968.0,15.916666686534882,18,38,41,28,20,2,1,C Shivaji Mah T Railway Station
12109,CSMT,0,CR,1,0,0,0,SF,0,261.0,4.583333313465118,1,1,2,2,1,0,1,C Shivaji Mah T Railway Station
12110,CSMT,0,CR,1,0,0,0,SF,0,261.0,4.583333313465118,7,11,11,10,5,0,1,C Shivaji Mah T Railway Station
12111,CSMT,1,CR,0,0,1,1,SF,1,673.0,12.16666667163372,2,2,3,4,2,0,1,C Shivaji Mah T Railway Station
12112,CSMT,1,CR,0,0,1,1,SF,1,673.0,11.5,15,15,11,12,5,0,1,C Shivaji Mah T Railway Station
12115,CSMT,1,CR,0,0,1,1,SF,1,455.0,8.25,5,6,7,10,2,2,1,C Shivaji Mah T Railway Station
12116,CSMT,1,CR,0,0,1,1,SF,1,455.0,8.25,9,11,13,17,11,0,1,C Shivaji Mah T Railway Station
12123,CSMT,0,CR,1,0,0,0,SF,0,192.0,3.25,1,0,0,1,1,0,1,C Shivaji Mah T Railway Station
12124,CSMT,0,CR,1,0,0,0,SF,0,192.0,3.1666666716337204,11,36,24,22,11,0,1,C Shivaji Mah T Railway Station
12125,CSMT,0,CR,1,0,0,0,SF,0,192.0,3.466666668653488,0,2,1,0,0,0,1,C Shivaji Mah T Railway Station
12126,CSMT,0,CR,1,0,0,0,SF,0,192.0,3.333333343267441,10,16,17,16,7,0,1,C Shivaji Mah T Railway Station
12127,CSMT,0,CR,1,0,0,0,SF,0,192.0,3.116666667163372,1,1,1,2,0,0,1,C Shivaji Mah T Railway Station
12128,CSMT,0,CR,1,0,0,0,SF,0,192.0,3.08333333581686,12,12,13,13,17,0,1,C Shivaji Mah T Railway Station
12139,CSMT,1,CR,0,0,1,1,SF,0,838.0,15.16666667163372,1,2,2,2,1,2,1,C Shivaji Mah T Railway Station
12140,CSMT,1,CR,0,0,1,1,SF,0,838.0,15.0,12,19,16,19,8,2,1,C Shivaji Mah T Railway Station
12187,CSMT,1,WCR,0,0,0,0,GR,0,997.0,16.75,6,10,9,5,0,0,1,C Shivaji Mah T Railway Station
12188,CSMT,1,WCR,0,0,0,0,GR,0,997.0,16.5,14,11,9,8,0,2,1,C Shivaji Mah T Railway Station
12261,CSMT,1,SER,0,0,0,1,Drnt,1,1968.0,26.41666665673256,127,155,188,141,17,3,1,C Shivaji Mah T Railway Station
12262,CSMT,1,SER,0,0,0,1,Drnt,1,1968.0,26.16666667163372,256,251,244,216,404,7,1,C Shivaji Mah T Railway Station
12321,CSMT,1,ER,0,0,1,1,SF,1,2177.0,37.41666665673256,15,21,22,20,10,4,1,C Shivaji Mah T Railway Station
12322,CSMT,1,ER,0,0,1,1,SF,1,2177.0,38.33333334326744,1,11,14,15,2,4,1,C Shivaji Mah T Railway Station
12533,CSMT,1,NER,0,0,1,1,SF,1,1426.0,24.33333334326744,25,4,4,6,30,2,1,C Shivaji Mah T Railway Station
12534,CSMT,1,NER,0,0,1,1,SF,1,1426.0,24.33333334326744,2,4,5,8,2,2,1,C Shivaji Mah T Railway Station
12701,CSMT,1,SCR,0,0,1,1,SF,1,790.0,14.33333334326744,3,2,2,4,2,2,1,C Shivaji Mah T Railway Station
12702,CSMT,1,SCR,0,0,1,1,SF,0,790.0,14.33333334326744,3,6,4,13,1,0,1,C Shivaji Mah T Railway Station
12809,CSMT,1,SER,0,0,1,1,SF,1,1968.0,33.25,1,2,5,7,0,8,1,C Shivaji Mah T Railway Station
12810,CSMT,1,SER,0,0,1,1,SF,1,1968.0,33.16666667163372,95,104,109,118,60,1,1,C Shivaji Mah T Railway Station
12859,CSMT,1,SER,0,0,1,1,SF,0,1968.0,30.5,2,11,10,14,1,6,1,C Shivaji Mah T Railway Station
12860,CSMT,1,SER,0,0,1,1,SF,0,1968.0,31.5,152,151,171,165,199,6,1,C Shivaji Mah T Railway Station
12869,CSMT,1,SER,0,0,1,1,SF,0,1968.0,32.41666665673256,1,1,3,6,0,6,1,C Shivaji Mah T Railway Station
12870,CSMT,1,SER,0,0,1,1,SF,0,1968.0,32.91666668653488,91,97,118,117,0,6,1,C Shivaji Mah T Railway Station
16331,CSMT,1,SR,0,0,1,1,Exp,0,1946.0,38.91666668653488,2,2,11,43,2,8,1,C Shivaji Mah T Railway Station
16332,CSMT,1,SR,0,0,1,1,Exp,0,1946.0,40.58333331346512,11,11,22,49,13,2,1,C Shivaji Mah T Railway Station
16339,CSMT,1,SR,0,0,1,1,Exp,0,1882.0,39.16666667163372,4,10,12,29,6,2,1,C Shivaji Mah T Railway Station
16340,CSMT,1,SR,0,0,1,1,Exp,0,1882.0,37.91666668653488,15,22,23,36,21,0,1,C Shivaji Mah T Railway Station
16351,CSMT,1,SR,0,0,1,1,Exp,0,1967.0,41.5,77,39,28,39,1,8,1,C Shivaji Mah T Railway Station
