code,name,latitude,longitude
VGLJ,Virangana Lakshmibai Jhansi Junction,25.44436,78.553465
DADN,Dr Ambedkar Ngr Railway Station,22.555015,75.770529
SKIP,Sikaripara Railway Station,24.239537,87.459436
MCSC,Mcs Chhatarpur Railway Station,24.878049,79.615011
SBGA,Shravanbelagola Railway Station,12.871356,76.465631
YADD,Yadadri Railway Station,17.5512399,78.9411163
DWK,Dwarka Railway Station,22.2505598,68.9802717
OKHA,Okha Railway Station,22.4716113,69.0758099
BHTA,Bhatiya Railway Station,22.0885886,69.27997
PBR,Porbandar Railway Station,21.642915,69.614699
KMBL,Khambhaliya Railway Station,22.217513,69.657344
BHUJ,Bhuj Railway Station,23.2658479,69.6783825
BNVD,Bhanvad Railway Station,21.9332871,69.7984259
WSJ,Wansjaliya Railway Station,21.7995742,69.873351
JDH,Jam Jodhpur Junction,21.9067457,70.031272
AJE,Anjar Railway Station,23.11955,70.03641
JAM,Jamnagar Railway Station,22.4929909,70.053495
AI,Adipur Railway Station,23.0765426,70.0780693
HAPA,Hapa Railway Station,22.4685993,70.1175346
GIMB,Gandhidham Bg Railway Station,23.0683652,70.1477446
KSD,Keshod Railway Station,21.2980905,70.2515507
UA,Upleta Railway Station,21.74692,70.281932
BCOB,Bhachau Bg Railway Station,23.3041258,70.3506249
VRL,Veraval Railway Station,20.911543,70.370945
JND,Junagadh Junction,21.5294899,70.4578231
SIOB,Samakhiali B G Railway Station,23.3096838,70.5029897
JLR,Jetalsar Junction,21.7291377,70.5741335
NUD,Navagadh Railway Station,21.7640485,70.6165606
MALB,Maliya Miyana Railway Station,23.10316687,70.75488469
BKNG,Bhakti Nagar Railway Station,22.2817578,70.7931079
GDL,Gondal Railway Station,21.9722108,70.7954985
RJT,Rajkot Railway Station,22.3131558,70.8025101
MVI,Morbi Railway Station,22.8243468,70.8312313
JSM,Jaisalmer Railway Station,26.9150966,70.926728
WKR,Wankaner Junction,22.6226135,70.9630693
AAR,Adesar Railway Station,23.552756,70.972531
SNLR,Santalpur Railway Station,23.75979,71.18198
HVD,Halvad Railway Station,23.0185,71.1829
BME,Barmer Railway Station,25.7463638,71.3974699
DHG,Dhrangadhra Railway Station,22.9876653,71.4784673
RDHP,Radhanpur Railway Station,23.8463284,71.5861785
SUNR,Surendranagar Railway Station,22.7452566,71.6292066
SRGT,Surendranagar Gate Railway Station,22.735063,71.636775
JVN,Jorawarnagar Junction,22.71276,71.64097
BTD,Botad Junction,22.1825026,71.6658627
RUR,Ranpur Railway Station,22.3598616,71.7169885
DLJ,Dhola Junction,21.8222026,71.7394215
DEOR,Diyodar Railway Station,24.1122508,71.7695863
LM,Limbdi Railway Station,22.56584,71.78973
SGD,Songadh Railway Station,21.7287501,71.8860131
POK,Pokhran Railway Station,26.930571,71.923129
RDRA,Ramdevra Railway Station,27.0071591,71.9303053
SOJN,Sihor Gujarat Railway Station,21.7249191,71.9574652
BLDI,Bhildi Railway Station,24.1944641,72.0094623
VG,Viramgam Junction,23.1378676,72.0424503
BVP,Bhavnagar Para Railway Station,21.7708429,72.1190513
PTN,Patan Railway Station,23.8536193,72.1312125
BVC,Bhavnagar Terminus Railway Station,21.7818148,72.1422248
DISA,Disa Railway Station,24.2373784,72.1795498
RNV,Raniwara Railway Station,24.7507026,72.2044385
BLT,Balotra Junction,25.8302168,72.2475393
MBNL,Marwar Bhinmal Railway Station,25.0009118,72.2756465
PLCJ,Phalodi Junction,27.1256662,72.3666313
SID,Siddhpur Railway Station,23.9182709,72.3681912
UJA,Unjha Railway Station,23.7966116,72.381508
MSH,Mahesana Junction,23.6019898,72.3893575
PNU,Palanpur Junction,24.1745976,72.4304
MON,Modran Railway Station,25.1869988,72.4470958
MKSR,Mokalsar Railway Station,25.6272481,72.5196134
CLDY,Chandlodiya Railway Station,23.0752671,72.5442672
SMR,Samdhari Junction,25.837202,72.573007
SBIB,Sabarmati Bg Railway Station,23.0712078,72.5871134
SBT,Sabarmati Junction,23.0712078,72.5871134
ADI,Ahmedabad Junction,23.0266941,72.6008731
MAN,Maninagar Railway Station,22.9986522,72.6113898
ASV,Asarva Junction,23.0440029,72.6130917
GNC,Gandhinagar Capital Railway Station,23.2349059,72.6302311
JOR,Jalor Railway Station,25.3543378,72.6341284
SDGM,Sardargram Railway Station,23.0715462,72.6424296
DRD,Dahanu Road Railway Station,19.9913582,72.7436773
MHD,Mahemdavad Kheda Road Railway Station,22.8190005,72.75237
BOR,Boisar Railway Station,19.7984437,72.7615198
PLG,Palghar Railway Station,19.697839,72.7719879
ABR,Abu Road Railway Station,24.4807488,72.7850708
VR,Virar Railway Station,19.4549882,72.8119115
NHM,Nandol Dehegam Railway Station,23.1735257,72.8158716
MMCT,Mumbai Central Railway Station,18.9696305,72.8193674
ADH,Mumbai Andheri Railway Station,18.9696305,72.8193674
BSR,Vasai Road Railway Station,19.38261,72.83195
CSMT,C Shivaji Mah T Railway Station,18.9398446,72.8332588
BDTS,Mumbai Bandra Terminus Railway Station,19.0634794,72.8389661
ST,Surat Railway Station,21.2049638,72.8407527
DR,Mumbai Dadar Central Railway Station,19.0191208,72.8417366
DDR,Mumbai Dadar Western Railway Station,19.0191208,72.8417366
