train_number,name
10103,MANDOVI EXPRESS
10104,MANDOVI EXPRESS
11007,DECCAN EXPRESS
11008,DECCAN EXPRESS
11009,SINHAGAD EXP
11010,SINHAGAD EXP
11029,KOYNA EXPRESS
11030,KOYNA EXPRESS
11401,NANDIGRAM  EXP
11402,NANDIGRAM  EXP
12051,JAN SHATABDI EX
12052,JAN SHATABDI EX
12071,JAN SHATABDI EXP
12072,JANSHATABDI EXP
12105,VIDARBHA EXPRESS
12106,VIDARBHA EXPRES
12109,PANCHAVATI EXP
12110,PANCHAVTI EXP
12111,CSMT AMI EXPRESS
12112,AMI CSMT EXPRESS
12115,SIDDHESHWAR EXP
12116,SIDDHESWAR EXP
12123,DECCAN QUEEN
12124,DECCAN QUEEN
12125,PRAGATI EXPRESS
12126,PRAGATI EXPRESS
12127,INTERCITY EXP
12128,INTERCITY EXP
12139,SEVAGRAM EXP
12140,SEVAGRAM EXP
12187,MUMBAI GARIBRATH
12188,JBP GARIB RATH
12261,HOWRAH DURONTO
12262,HWH CSTM DURONTO
12321,HWH MUMBAI MAIL
12322,KOLKATA MAIL
12533,PUSHPAK EXP
12534,PUSHPAK EXPRESS
12701,HUSAINSAGAR EXP
12702,HUSSAINSAGAR EX
12809,HOWRAH MAIL
12810,HWH MUMBAI MAIL
12859,GITANJALI EXP
12860,GITANJALI EXP
12869,CSMT HOWRAH EXP
12870,HWH CSMT EXPRES
16331,TRIVANDRAM EXP
16332,MUMBAI EXPRESS
16339,NAGARCOIL EXP
16340,MUMBAI EXPRESS
16351,NAGARCOIL EXP
16352,NCJ MUMBAI EXP
17057,DEVAGIRI EXP
17058,DEVAGIRI EXP
17617,TAPOVAN EXPRESS
17618,TAPOVAN EXP
11003,TUTARI EXPRESS
11004,TUTARI EXPRESS
11027,CHENNAI MAIL
11028,MUMBAI MAIL
11035,SHARAVATHI EXP
11036,SHARAVATI  EXP
11041,CSMT CHENNAI EX
11042,MUMBAI EXPRESS
